officer_id,name,department,position
76e9e125-9de4-4c11-b026-ea25c08607ae,Martha Lee,Risk,Senior Officer
36460ed4-4d92-47a6-97f5-582234f23cf4,Loretta Williams,Risk,Junior Officer
9444725b-1ea8-45ce-a99f-c4fb7e12b494,Alyssa Brown,Risk,Junior Officer
f75d7ff5-89b2-448e-a0e8-442e38e751de,Brittany Morris,Business,Manager
dc9cab27-5719-44b9-b817-7127367d0f01,Mark Solis,Business,Manager
f064c5fe-3114-41de-b308-bcd522b01d91,Anthony Fuller,Loans,Manager
500eb610-2bda-4ee2-b0ba-9ec248fc9fa6,Joshua Smith,Loans,Senior Officer
2ea102c1-8feb-4f9f-b46e-27a8f0d494db,Jacob Mueller,Business,Junior Officer
48755f3f-825b-41ac-8344-7ea3714dfa91,Andrea Rogers,Business,Junior Officer
ab3b9fa8-c4a2-49ad-b0aa-f7170d96146f,James Cardenas,Business,Junior Officer
0fe52e9b-9125-4596-9b32-e07c6b9b8f81,Zachary Randolph,Risk,Manager
96cd42ed-989d-4dfe-b3fb-ba460f665aa6,Samantha Bryant,Loans,Junior Officer
60e79ab0-fb28-47a4-a635-144967c1b1da,Raymond Garza,Risk,Senior Officer
08f2071f-0767-465e-8205-8a1d23dec8ba,Christopher Miles,Risk,Senior Officer
4e5c20dc-4387-4702-a859-f7e5cdf26bb8,Katie Sanchez,Business,Manager
51506531-1f59-48c1-b715-44472da4818c,Robin Suarez,Loans,Senior Officer
07108b17-736e-4b6f-997a-37a41e488eac,Mrs. Carolyn Doyle,Risk,Manager
7eaa9443-883f-4e48-b5d9-f15cf439d66d,Mary Stephens,Loans,Senior Officer
b3a7a4c6-49b3-4a58-a5ae-2fd8283373d8,Dalton Tucker,Risk,Senior Officer
d521c49a-cb4f-4046-8018-f6ac783f64d3,Ashley Carr MD,Risk,Junior Officer
